This file was created using the 201904 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
19900702    ,0.69   ,-0.06   ,-0.34    ,0.03
19900703    ,0.18    ,0.06   ,-0.16    ,0.03
19900704    ,0.62   ,-0.18   ,-0.16    ,0.03
19900705   ,-0.74    ,0.29    ,0.15    ,0.03
19900706    ,0.20   ,-0.18    ,0.05    ,0.03
19900709    ,0.23    ,0.16    ,0.00    ,0.03
19900710    ,0.14    ,0.18   ,-0.25    ,0.03
19900711    ,0.33   ,-0.51   ,-0.23    ,0.03
19900712    ,0.57   ,-0.10   ,-0.23    ,0.03
19900713    ,0.76   ,-0.50   ,-0.21    ,0.03
19900716    ,0.51   ,-0.37   ,-0.03    ,0.03
19900717    ,0.00    ,0.09    ,0.12    ,0.03
19900718   ,-0.19    ,0.06    ,0.02    ,0.03
19900719   ,-0.27    ,0.07   ,-0.20    ,0.03
19900720   ,-0.83    ,0.72    ,0.22    ,0.03
19900723   ,-1.01    ,0.16    ,0.40    ,0.03
19900724   ,-0.49    ,0.24   ,-0.12    ,0.03
19900725    ,0.07    ,0.09    ,0.17    ,0.03
19900726   ,-0.67    ,0.61    ,0.11    ,0.03
19900727   ,-0.70    ,0.63    ,0.46    ,0.03
19900730    ,0.04   ,-0.31    ,0.04    ,0.03
19900731    ,1.37   ,-0.65   ,-0.22    ,0.03
19900801   ,-0.50    ,0.17   ,-0.16    ,0.03
19900802   ,-1.78    ,0.56    ,0.10    ,0.03
19900803   ,-1.69    ,0.30    ,0.03    ,0.03
19900806   ,-3.21    ,0.62    ,0.18    ,0.03
19900807   ,-0.77   ,-0.26   ,-0.01    ,0.03
19900808    ,0.67   ,-0.67   ,-0.15    ,0.03
19900809   ,-0.10    ,0.41   ,-0.36    ,0.03
19900810   ,-0.69    ,0.24    ,0.32    ,0.03
19900813   ,-1.12    ,0.35   ,-0.16    ,0.03
19900814    ,0.85   ,-0.58   ,-0.11    ,0.03
19900815    ,2.10   ,-1.36    ,0.07    ,0.03
19900816   ,-1.43    ,0.87    ,0.26    ,0.03
19900817   ,-1.32    ,0.26    ,0.10    ,0.03
19900820   ,-0.69   ,-0.59    ,0.08    ,0.03
19900821   ,-1.49   ,-0.07    ,0.16    ,0.03
19900822   ,-1.61    ,0.36    ,0.70    ,0.03
19900823   ,-3.64    ,0.98    ,0.92    ,0.03
19900824    ,0.66   ,-1.55   ,-0.01    ,0.03
19900827    ,3.33   ,-1.50   ,-0.49    ,0.03
19900828    ,1.27    ,0.01   ,-0.46    ,0.03
19900829   ,-0.40    ,0.46   ,-0.09    ,0.03
19900830    ,0.12   ,-0.48    ,0.38    ,0.03
19900831    ,0.42   ,-0.38   ,-0.78    ,0.03
19900903   ,-0.76    ,0.36   ,-0.03    ,0.03
19900904   ,-0.95    ,0.37   ,-0.07    ,0.03
19900905   ,-0.04    ,0.44    ,0.01    ,0.03
19900906   ,-0.64    ,0.19    ,0.14    ,0.03
19900907    ,0.16   ,-0.81    ,0.05    ,0.03
19900910    ,1.15   ,-1.13   ,-0.13    ,0.03
19900911   ,-0.85    ,0.54    ,0.05    ,0.03
19900912    ,1.32   ,-0.85   ,-0.18    ,0.03
19900913   ,-0.16    ,0.35   ,-0.12    ,0.03
19900914   ,-0.50    ,0.26   ,-0.19    ,0.03
19900917   ,-0.73    ,0.37    ,0.01    ,0.03
19900918   ,-1.21    ,0.26    ,0.23    ,0.03
19900919   ,-1.07    ,0.01    ,0.23    ,0.03
19900920   ,-1.63    ,0.09    ,0.27    ,0.03
19900921   ,-0.47   ,-0.93    ,0.18    ,0.03
19900924   ,-0.60   ,-0.03    ,0.19    ,0.03
19900925   ,-1.46    ,0.63   ,-0.20    ,0.03
19900926   ,-1.85    ,0.84    ,0.21    ,0.03
19900927   ,-1.42    ,0.21    ,0.45    ,0.03
19900928   ,-0.78    ,0.30   ,-0.33    ,0.03
19901001    ,0.96   ,-0.72    ,0.08    ,0.03
19901002    ,3.31   ,-3.05    ,0.54    ,0.03
19901003    ,0.16    ,0.34   ,-0.11    ,0.03
19901004    ,0.28    ,0.09    ,0.01    ,0.03
19901005    ,1.11   ,-0.79   ,-0.31    ,0.03
19901008    ,2.51   ,-0.84   ,-0.41    ,0.03
19901009   ,-1.04    ,0.58   ,-0.19    ,0.03
19901010   ,-0.81   ,-0.01    ,0.00    ,0.03
19901011   ,-1.72    ,0.54    ,0.35    ,0.03
19901012    ,0.66   ,-0.62    ,0.00    ,0.03
19901015    ,1.12   ,-1.40   ,-0.72    ,0.03
19901016    ,0.46   ,-0.11    ,0.02    ,0.03
19901017    ,0.85   ,-0.80   ,-0.56    ,0.03
19901018    ,1.63   ,-0.66   ,-1.14    ,0.03
19901019    ,1.20   ,-0.59   ,-0.64    ,0.03
19901022    ,0.99   ,-0.88   ,-0.62    ,0.03
19901023   ,-0.13    ,0.45    ,0.13    ,0.03
19901024   ,-0.38    ,0.69    ,0.19    ,0.03
19901025    ,0.72   ,-0.24   ,-0.52    ,0.03
19901026   ,-1.53    ,0.73   ,-0.04    ,0.03
19901029   ,-0.27   ,-0.16    ,0.05    ,0.03
19901030   ,-0.56    ,0.03   ,-0.18    ,0.03
19901031   ,-0.43    ,0.20    ,0.14    ,0.03
19901101   ,-1.28    ,0.69    ,0.41    ,0.03
19901102    ,0.93   ,-0.75   ,-0.23    ,0.03
19901105    ,1.43   ,-0.37   ,-0.46    ,0.03
19901106   ,-0.79    ,0.56    ,0.22    ,0.03
19901107   ,-1.51    ,0.92    ,0.43    ,0.03
19901108   ,-1.36    ,0.38    ,0.43    ,0.03
19901109    ,0.31   ,-0.56    ,0.18    ,0.03
19901112    ,1.06   ,-0.46   ,-0.18    ,0.03
19901113    ,1.10   ,-0.59   ,-0.14    ,0.03
19901114    ,0.08    ,0.29   ,-0.32    ,0.03
19901115   ,-0.76    ,0.36    ,0.42    ,0.03
19901116   ,-0.41    ,0.49    ,0.40    ,0.03
19901119    ,1.01   ,-0.77   ,-0.28    ,0.03
19901120   ,-0.77    ,0.43    ,0.19    ,0.03
19901121   ,-0.35    ,0.04    ,0.11    ,0.03
19901122    ,0.94   ,-0.83   ,-0.24    ,0.03
19901123   ,-0.04    ,0.02    ,0.07    ,0.03
19901126   ,-0.34    ,0.05   ,-0.13    ,0.03
19901127    ,0.19    ,0.30   ,-0.18    ,0.03
19901128   ,-1.37    ,0.83    ,0.12    ,0.03
19901129   ,-1.80    ,0.67    ,0.15    ,0.03
19901130    ,0.05   ,-0.34    ,0.11    ,0.03
19901203    ,0.30   ,-0.37    ,0.06    ,0.03
19901204   ,-0.58    ,0.71    ,0.18    ,0.03
19901205    ,0.72   ,-0.54    ,0.29    ,0.03
19901206    ,1.60   ,-0.77   ,-0.07    ,0.03
19901207    ,2.03   ,-0.95   ,-0.35    ,0.03
19901210    ,0.19    ,0.07   ,-0.30    ,0.03
