"","X2018.12","X2019.12","X2020.12"
"매출액",1392,956,937
"매출원가",902,681,721
"매출총이익",490,275,216
"판매비와관리비",626,553,333
"인건비",139,123,97
"유무형자산상각비",17,32,32
"연구개발비",13,11,8
"광고선전비",94,119,43
"판매비",274,177,86
"관리비",89,90,66
"기타원가성비용",NA,NA,NA
"기타",1,0,0
"영업이익",-136,-278,-117
"영업이익(발표기준)",-136,-278,-117
"금융수익",49,9,23
"이자수익",7,7,3
"배당금수익",NA,NA,NA
"외환이익",NA,NA,NA
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",0,0,NA
"금융자산평가이익",0,0,0
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",43,0,19
"기타금융수익",NA,2,NA
"금융원가",30,111,99
"이자비용",27,32,32
"외환손실",NA,NA,NA
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,6
"금융자산평가손실",3,2,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,77,6
"기타금융원가",NA,NA,55
"기타수익",15,12,16
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",2,1,0
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",0,1,2
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,1,3
"충당부채환입액",NA,NA,NA
"기타비용",31,119,40
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",1,4,0
"자산평가손실",NA,NA,NA
"자산손상차손",7,107,24
"기타대손상각비",5,0,0
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-2,-5,NA
"지분법손익",-2,-5,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",-134,-492,-217
"법인세비용",3,86,-17
"계속영업이익",-137,-578,-200
"중단영업이익",NA,NA,371
"당기순이익",-137,-578,171
"지배주주순이익",-85,-554,227
"비지배주주순이익",-52,-24,-56
"자산",1641,1329,1466
"유동자산",739,542,402
"재고자산",149,119,89
"유동생물자산",NA,NA,NA
"유동금융자산",131,89,27
"매출채권및기타유동채권",123,114,87
"당기법인세자산",6,NA,0
"계약자산",NA,NA,NA
"반품(환불)자산",3,2,0
"배출권",NA,NA,NA
"기타유동자산",21,27,4
"현금및현금성자산",307,192,195
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",902,787,1063
"유형자산",716,615,447
"무형자산",26,20,16
"비유동생물자산",NA,NA,NA
"투자부동산",NA,71,71
"장기금융자산",33,34,29
"관계기업등지분관련투자자산",13,8,493
"장기매출채권및기타비유동채권",54,14,3
"이연법인세자산",57,NA,NA
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",2,25,5
"기타금융업자산",NA,NA,NA
"부채",654,839,781
"유동부채",552,478,623
"단기사채",214,8,191
"단기차입금",9,199,255
"유동성장기부채",102,93,38
"유동금융부채",110,76,63
"매입채무및기타유동채무",104,92,73
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",8,4,1
"당기법인세부채",NA,1,0
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",6,5,2
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",102,361,159
"사채",NA,169,NA
"장기차입금",100,79,61
"비유동금융부채",NA,71,1
"장기매입채무및기타비유동채무",NA,2,1
"비유동종업원급여충당부채",2,6,3
"기타장기충당부채",0,1,NA
"이연법인세부채",NA,33,93
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",987,490,685
"지배기업주주지분",764,289,677
"자본금",91,91,91
"신종자본증권",NA,NA,NA
"자본잉여금",271,273,276
"기타자본",77,155,310
"기타포괄손익누계액",1,1,1
"이익잉여금(결손금)",324,-230,-1
"비지배주주지분",223,201,7
"영업활동으로인한현금흐름",-35,-179,-52
"당기순손익",-137,-578,171
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",278,423,301
"퇴직급여",14,14,14
"종업원급여",NA,0,0
"주식보상비",2,1,2
"감가상각비",55,72,65
"무형자산상각비",6,6,6
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",5,0,0
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,55
"사채상환손실",NA,NA,0
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",3,5,NA
"종속기업관련손실",NA,NA,0
"관계기업관련손익",0,NA,NA
"(현금유입이없는수익등차감)",58,15,471
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,2,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",1,NA,NA
"종속회사관련이익",NA,NA,436
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-112,-10,-44
"자산의감소(증가)",-24,17,5
"부채의증가(감소)",-89,-28,-49
"정부보조금등의변동",0,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",-30,-180,-43
"기타영업활동으로인한현금흐름",-5,1,-9
"이자수입",6,5,2
