"","X2018.12","X2019.12"
"매출액",1127,907
"매출원가",963,1019
"매출총이익",165,-113
"판매비와관리비",115,146
"인건비",45,62
"유무형자산상각비",12,8
"연구개발비",19,23
"광고선전비",0,0
"판매비",2,3
"관리비",38,50
"기타원가성비용",NA,NA
"기타",NA,NA
"영업이익",49,-259
"영업이익(발표기준)",49,-259
"금융수익",7,58
"이자수익",1,3
"배당금수익",NA,NA
"외환이익",NA,NA
"대손충당금환입액",NA,NA
"매출채권처분이익",NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA
"금융자산처분이익",NA,NA
"금융자산평가이익",2,29
"금융자산손상차손환입",NA,NA
"파생상품이익",4,21
"기타금융수익",NA,4
"금융원가",8,89
"이자비용",8,18
"외환손실",NA,NA
"대손상각비",NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA
"매출채권처분손실",NA,NA
"금융자산처분손실",NA,NA
"금융자산평가손실",0,49
"금융자산손상차손",NA,NA
"파생상품손실",0,22
"기타금융원가",NA,NA
"기타수익",24,22
"재고자산감모손실환입",NA,NA
"재고자산폐기(처분)이익",NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA
"자산처분(폐기)이익",14,1
"자산평가이익",NA,NA
"자산손상차손환입",NA,NA
"임대료수익",2,0
"로열티수익",NA,NA
"수수료수익",NA,NA
"대손충당금환입",NA,NA
"충당부채환입액",NA,NA
"기타비용",6,97
"재고자산감모손실",NA,NA
"재고자산폐기(처분)손실",NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA
"자산처분(폐기)손실",2,0
"자산평가손실",NA,NA
"자산손상차손",1,33
"기타대손상각비",NA,13
"충당부채전입액",NA,44
"종속기업,공동지배기업및관계기업관련손익",NA,0
"지분법손익",NA,0
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA
"세전계속사업이익",66,-365
"법인세비용",14,19
"계속영업이익",52,-384
"중단영업이익",NA,NA
"당기순이익",52,-384
"지배주주순이익",52,-380
"비지배주주순이익",0,-3
"자산",864,783
"유동자산",514,500
"재고자산",166,66
"유동생물자산",NA,NA
"유동금융자산",6,247
"매출채권및기타유동채권",190,98
"당기법인세자산",0,0
"계약자산",NA,NA
"반품(환불)자산",NA,NA
"배출권",NA,NA
"기타유동자산",25,6
"현금및현금성자산",127,82
"매각예정비유동자산및처분자산집단",NA,NA
"비유동자산",351,284
"유형자산",244,237
"무형자산",47,19
"비유동생물자산",NA,NA
"투자부동산",NA,NA
"장기금융자산",34,13
"관계기업등지분관련투자자산",NA,NA
"장기매출채권및기타비유동채권",9,4
"이연법인세자산",17,NA
"장기당기법인세자산",NA,NA
"기타비유동자산",NA,11
"기타금융업자산",NA,NA
"부채",497,729
"유동부채",404,647
"단기사채",78,176
"단기차입금",51,66
"유동성장기부채",21,76
"유동금융부채",5,69
"매입채무및기타유동채무",230,151
"유동종업원급여충당부채",NA,NA
"기타단기충당부채",4,82
"당기법인세부채",NA,2
"계약부채",NA,NA
"반품(환불)부채",NA,NA
"배출부채",NA,NA
"기타유동부채",16,25
"매각예정으로분류된처분자산집단에포함된부채",NA,NA
"비유동부채",93,83
"사채",NA,NA
"장기차입금",93,76
"비유동금융부채",NA,5
"장기매입채무및기타비유동채무",1,2
"비유동종업원급여충당부채",NA,NA
"기타장기충당부채",NA,NA
"이연법인세부채",NA,NA
"장기당기법인세부채",NA,NA
"기타비유동부채",NA,NA
"기타금융업부채",NA,NA
"자본",367,54
"지배기업주주지분",366,54
"자본금",59,151
"신종자본증권",NA,NA
"자본잉여금",144,255
"기타자본",-19,-25
"기타포괄손익누계액",0,0
"이익잉여금(결손금)",183,-327
"비지배주주지분",1,NA
"영업활동으로인한현금흐름",71,-184
"당기순손익",52,-384
"법인세비용차감전계속사업이익",NA,NA
"현금유출이없는비용등가산",49,252
"퇴직급여",NA,NA
"종업원급여",NA,NA
"주식보상비",1,1
"감가상각비",9,19
"무형자산상각비",12,3
"계약부채전입액",NA,NA
"반품(환불)부채전입액",NA,NA
"배출부채전입액",NA,NA
"기타의대손상각비",NA,13
"배당금지급",NA,NA
"금융부채관련손실",NA,NA
"사채상환손실",NA,NA
"투자자산평가손실",NA,NA
"자산재평가손실",NA,NA
"지분법관련손실",NA,0
"종속기업관련손실",NA,NA
"관계기업관련손익",NA,NA
"(현금유입이없는수익등차감)",18,76
"금융부채관련이익",NA,NA
"사채상환이익",NA,4
"퇴직급여충당부채환입액",NA,NA
"계약부채환입액",NA,NA
"반품(환불)부채환입액",NA,NA
"배출부채환입액",NA,NA
"주식보상비환입",NA,NA
"투자자산평가이익",NA,NA
"자산재평가이익",NA,NA
"지분법관련이익",NA,NA
"종속회사관련이익",NA,8
"법인세수익",NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-7,30
"자산의감소(증가)",-44,115
"부채의증가(감소)",37,-85
"정부보조금등의변동",NA,NA
"기타운전자본의변동",NA,NA
"*영업에서창출된현금흐름",76,-178
"기타영업활동으로인한현금흐름",-5,-6
"이자수입",1,2
"이자지급(-)",-5,-7
"배당금수입",NA,NA
"배당금지급(-)",NA,NA
"법인세환입",NA,NA
"법인세납부(-)",-1,0
"중단영업관련현금흐름",NA,NA
"투자활동으로인한현금흐름",-10,-220
"투자활동으로인한현금유입액",67,181
"유동금융자산의감소",NA,13
"장기금융상품의감소",8,4
"매도가능금융자산의감소",NA,NA
"만기보유금융자산의감소",NA,NA
"장기대여금의감소",NA,NA
"파생상품의변동",NA,NA
"기타비유동금융자산의감소",NA,NA
"관계기업등지분관련투자자산의감소",NA,1
"유형자산의감소",54,5
"무형자산의감소",NA,0
"생물자산의감소",NA,NA
"투자부동산의감소",NA,NA
"기타투자활동으로인한현금유입액",5,157
"(투자활동으로인한현금유출액)",77,401
"유동금융자산의증가",14,109
"장기금융상품의증가",9,4
"매도가능금융자산의증가",NA,NA
"만기보유금융자산의증가",NA,NA
"장기대여금의증가",NA,NA
"기타비유동금융자산의증가",NA,NA
"관계기업등지분관련투자자산의증가",NA,0
"유형자산의증가",42,7
"무형자산의증가",6,9
"생물자산의증가",NA,NA
"투자부동산의증가",NA,NA
"기타투자활동으로인한현금유출액",6,272
"기타투자활동으로인한현금흐름",NA,NA
"재무활동으로인한현금흐름",-5,357
"재무활동으로인한현금유입액",48,598
"사채의증가",NA,350
"차입금의증가",NA,NA
"미지급금의증가",NA,NA
"유동성장기부채의증가",NA,NA
"기타금융부채의증가",47,107
"기타부채의증가",NA,NA
"유상증자",NA,140
"자기주식의처분",NA,NA
"주식매입선택권의행사",NA,NA
"자본구성항목의증가",0,NA
"기타재무활동으로인한현금유입액",0,1
"(재무활동으로인한현금유출액)",53,240
"사채의감소",NA,127
"차입금의감소",NA,NA
"미지급금의감소",NA,NA
"유동성장기부채의감소",NA,9
"기타금융부채의감소",51,95
"기타부채의감소",0,2
"유상감자",NA,NA
"자기주식의취득",NA,6
"자본구성항목의감소",NA,NA
"기타재무활동으로인한현금유출액",2,1
"기타재무활동으로인한현금흐름",NA,NA
"영업투자재무활동기타현금흐름",NA,NA
"연결범위변동으로인한현금의증가",NA,0
"환율변동효과",0,1
"현금및현금성자산의증가",57,-46
"기초현금및현금성자산",71,127
"기말현금및현금성자산",127,82
