"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"1",2019-06-07,"060300","레드로버","-",1190,"-","-","2,128","0.56",0,0,1,2243
"2",2019-06-07,"290650","엘앤씨바이오","-",22750,"830","27.41","7,252","3.14",0,0,2,NA
"3",2019-06-07,"239340","미래에셋제5호스팩","-",5200,"-","-","-","-",0,0,3,NA
"4",2019-06-07,"086060","진바이오텍","-",6940,"312","22.24","5,570","1.25",30,0.43,4,NA
"5",2019-06-07,"033430","디에스티","-",1310,"-","-","338","3.88",0,0,5,NA
"6",2019-06-07,"038680","에스넷","-",9600,"300","32","4,302","2.23",100,1.04,6,NA
"7",2019-06-07,"214680","디알텍","-",2005,"29","69.14","709","2.83",0,0,7,NA
"8",2019-06-07,"242040","나무기술","-",3345,"-","-","462","7.24",0,0,8,NA
"9",2019-06-07,"121890","에스디시스템","-",4980,"-","-","1,912","2.6",0,0,9,NA
"10",2019-06-07,"088800","에이스테크","-",11500,"97","118.56","2,291","5.02",0,0,10,NA
"11",2019-06-07,"032500","케이엠더블유","-",41200,"-","-","2,292","17.98",0,0,11,NA
"12",2019-06-07,"068240","다원시스","-",14100,"329","42.86","7,490","1.88",50,0.35,12,NA
"13",2019-06-07,"192390","윈하이텍","-",4590,"669","6.86","5,803","0.79",120,2.61,13,NA
"14",2019-06-07,"263540","샘코","-",21000,"-","-","4,982","4.22",0,0,14,NA
"15",2019-06-07,"053950","경남제약","관리종목",17200,"327","52.6","2,351","7.32",0,0,15,NA
"16",2019-06-07,"073110","엘엠에스","-",12400,"881","14.07","13,267","0.93",150,1.21,16,NA
"17",2019-06-07,"035620","바른손이앤에이","-",2680,"1,253","2.14","1,315","2.04",0,0,17,NA
"18",2019-06-07,"126880","제이엔케이히터","-",5770,"-","-","3,081","1.87",0,0,18,NA
"19",2019-06-07,"031330","에스에이엠티","-",2055,"321","6.4","2,142","0.96",130,6.33,19,NA
"20",2019-06-07,"058400","KNN","-",883,"59","14.97","1,439","0.61",25,2.83,20,NA
"21",2019-06-07,"215600","신라젠","-",54500,"-","-","2,365","23.04",0,0,21,NA
"22",2019-06-07,"033110","코너스톤네트웍스","-",1755,"-","-","286","6.14",0,0,22,NA
"23",2019-06-07,"057880","토필드","-",2135,"-","-","742","2.88",0,0,23,NA
"24",2019-06-07,"039560","다산네트웍스","-",11650,"-","-","4,439","2.62",0,0,24,NA
"25",2019-06-07,"096690","제이스테판","-",2705,"-","-","3,090","0.88",0,0,25,NA
"26",2019-06-07,"123040","엠에스오토텍","-",3715,"129","28.8","3,031","1.23",50,1.35,26,NA
"27",2019-06-07,"198440","고려시멘트","-",3460,"149","23.22","2,705","1.28",35,1.01,27,NA
