"","Price"
"2018-11-05",9500
"2018-11-06",9500
"2018-11-07",9500
"2018-11-08",9650
"2018-11-09",9610
"2018-11-12",9430
"2018-11-13",9270
"2018-11-14",9490
"2018-11-15",9600
"2018-11-16",9890
"2018-11-19",10050
"2018-11-20",9980
"2018-11-21",9760
"2018-11-22",9710
"2018-11-23",9840
"2018-11-26",9970
"2018-11-27",10050
"2018-11-28",10050
"2018-11-29",9970
"2018-11-30",10050
"2018-12-03",10100
"2018-12-04",10150
"2018-12-05",10100
"2018-12-06",9840
"2018-12-07",9900
"2018-12-10",9740
"2018-12-11",9480
"2018-12-12",9730
"2018-12-13",9830
"2018-12-14",9820
"2018-12-17",9780
"2018-12-18",9700
"2018-12-19",9700
"2018-12-20",9560
"2018-12-21",9420
"2018-12-24",9470
"2018-12-26",9200
"2018-12-27",9240
"2018-12-28",9300
"2019-01-02",9170
"2019-01-03",9250
"2019-01-04",9220
"2019-01-07",9320
"2019-01-08",9320
"2019-01-09",9460
"2019-01-10",9520
"2019-01-11",9640
"2019-01-14",9810
"2019-01-15",9780
"2019-01-16",9770
"2019-01-17",9730
"2019-01-18",9800
"2019-01-21",9790
"2019-01-22",9790
"2019-01-23",9920
"2019-01-24",11200
"2019-01-25",11150
"2019-01-28",11100
"2019-01-29",11050
"2019-01-30",10900
"2019-01-31",11000
"2019-02-01",10800
"2019-02-07",11050
"2019-02-08",11150
"2019-02-11",10850
"2019-02-12",10850
"2019-02-13",11300
"2019-02-14",11600
"2019-02-15",11250
"2019-02-18",11450
"2019-02-19",11400
"2019-02-20",11350
"2019-02-21",11550
"2019-02-22",11800
"2019-02-25",11550
"2019-02-26",11650
"2019-02-27",11500
"2019-02-28",11200
"2019-03-04",11200
"2019-03-05",11300
"2019-03-06",11450
"2019-03-07",11500
"2019-03-08",11300
"2019-03-11",11300
"2019-03-12",11400
"2019-03-13",11600
"2019-03-14",11250
"2019-03-15",11250
"2019-03-18",11250
"2019-03-19",11050
"2019-03-20",11000
"2019-03-21",10650
"2019-03-22",10450
"2019-03-25",10150
"2019-03-26",10200
"2019-03-27",10250
"2019-03-28",9970
"2019-03-29",10150
"2019-04-01",10200
"2019-04-02",10250
"2019-04-03",10400
"2019-04-04",10450
"2019-04-05",10300
"2019-04-08",10400
"2019-04-09",10250
"2019-04-10",10400
"2019-04-11",10500
"2019-04-12",10650
"2019-04-15",10800
"2019-04-16",10700
"2019-04-17",10450
"2019-04-18",10400
"2019-04-19",10300
"2019-04-22",10350
"2019-04-23",10400
"2019-04-24",10550
"2019-04-25",10400
"2019-04-26",10300
"2019-04-29",10300
"2019-04-30",10200
"2019-05-02",10150
"2019-05-03",10250
"2019-05-07",10200
"2019-05-08",10050
"2019-05-09",9940
"2019-05-10",9980
"2019-05-13",9810
"2019-05-14",9880
"2019-05-15",9900
"2019-05-16",9630
"2019-05-17",9640
"2019-05-20",9430
"2019-05-21",9160
"2019-05-22",9090
"2019-05-23",9030
"2019-05-24",8890
"2019-05-27",8760
"2019-05-28",9140
