"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1","005930","삼성전자",79600,0,0,"KOSPI","전기전자",475194690980000,3841,20.72,39406,2.02,2994,3.76
"2","000660","SK하이닉스",121000,3500,2.98,"KOSPI","전기전자",88088286165000,6952,17.41,71275,1.7,1170,0.97
"3","051910","LG화학",881000,21000,2.44,"KOSPI","화학",62191854183000,6666,132.16,230440,3.82,10000,1.14
"4","207940","삼성바이오로직스",894000,20000,2.29,"KOSPI","의약품",5.915151e+13,3642,245.47,69505,12.86,0,0
"5","035420","NAVER",349500,5500,1.6,"KOSPI","서비스업",57410056552500,6877,50.82,44850,7.79,402,0.12
"6","035720","카카오",113000,2500,2.26,"KOSPI","서비스업",50150451465000,369,306.23,14286,7.91,30,0.03
"7","005380","현대차",231000,4000,1.76,"KOSPI","운수장비",49357351197000,5454,42.35,250888,0.92,3000,1.3
"8","006400","삼성SDI",631000,8000,1.28,"KOSPI","전기전자",43390418430000,8593,73.43,184387,3.42,1000,0.16
"9","068270","셀트리온",272000,2500,0.93,"KOSPI","의약품",37513297248000,3756,72.42,24262,11.21,0,0
"10","000270","기아",83000,1400,1.72,"KOSPI","운수장비",33645157801000,3710,22.37,73740,1.13,1000,1.2
"11","005490","POSCO",385500,18500,5.04,"KOSPI","철강금속",33610524892500,20165,19.12,508464,0.76,8000,2.08
"12","012330","현대모비스",278000,1500,0.54,"KOSPI","운수장비",26352480132000,16389,16.96,349812,0.79,4000,1.44
"13","028260","삼성물산",139500,-500,-0.36,"KOSPI","유통업",26070747799500,6278,22.22,160189,0.87,2300,1.65
"14","096770","SK이노베이션",278000,4000,1.46,"KOSPI","화학",25705426792000,NA,NA,155153,1.79,0,0
"15","066570","LG전자",150000,2500,1.69,"KOSPI","전기전자",24547172100000,10926,13.73,85368,1.76,1200,0.8
"16","105560","KB금융",58800,900,1.55,"KOSPI","기타금융",24449505696000,8809,6.67,102219,0.58,1770,3.01
"17","051900","LG생활건강",1518000,0,0,"KOSPI","화학",23708423046000,47596,31.89,268428,5.66,11000,0.72
"18","017670","SK텔레콤",306500,-500,-0.16,"KOSPI","통신업",22086433829500,20463,14.98,294058,1.04,10000,3.26
"19","003550","LG",126500,0,0,"KOSPI","기타금융",21828477071500,8338,15.17,115188,1.1,2500,1.98
"20","055550","신한지주",41300,250,0.61,"KOSPI","기타금융",21335561580200,6654,6.21,82515,0.5,1500,3.63
"21","034730","SK",269500,1000,0.37,"KOSPI","기타금융",18962100041500,3544,76.04,245819,1.1,7000,2.6
"22","036570","엔씨소프트",823000,8000,0.98,"KOSPI","서비스업",18068160106000,28504,28.87,143098,5.75,8550,1.04
"23","091990","셀트리온헬스케어",115600,1300,1.14,"KOSDAQ","유통",17916950583200,1574,73.44,12487,9.26,0,0
"24","032830","삼성생명",86100,700,0.82,"KOSPI","보험",1.722e+13,7049,12.21,209474,0.41,2500,2.9
"25","090430","아모레퍼시픽",294000,-500,-0.17,"KOSPI","화학",17186796060000,512,574.22,64736,4.54,800,0.27
"26","015760","한국전력",23950,350,1.48,"KOSPI","전기가스업",15375039644150,3102,7.72,107945,0.22,1216,5.08
"27","011200","HMM",42850,0,0,"KOSPI","운수창고업",14800068067950,103,416.02,5164,8.3,0,0
"28","086790","하나금융지주",47200,800,1.72,"KOSPI","기타금융",14171425326400,8858,5.33,102296,0.46,1850,3.92
"29","018260","삼성에스디에스",180500,1000,0.56,"KOSPI","서비스업",13966692900000,5733,31.48,86188,2.09,2400,1.33
"30","009150","삼성전기",165000,500,0.3,"KOSPI","전기전자",12324459840000,7993,20.64,74385,2.22,1400,0.85
"31","302440","SK바이오사이언스",159500,0,0,"KOSPI","의약품",1.220175e+13,537,297.02,4310,37.01,0,0
"32","251270","넷마블",134000,2500,1.9,"KOSPI","서비스업",11517769268000,3827,35.01,62986,2.13,767,0.57
"33","033780","KT&G",82800,100,0.12,"KOSPI","기타제조업",11367818751600,9320,8.88,65822,1.26,4800,5.8
"34","010950","S-Oil",99900,2300,2.36,"KOSPI","화학",11247020920800,NA,NA,48733,2.05,0,0
"35","003670","포스코케미칼",144500,1500,1.05,"KOSPI","비금속광물",11193435290000,455,317.58,15401,9.38,300,0.21
"36","009540","한국조선해양",154000,1000,0.65,"KOSPI","운수장비",10899059864000,NA,NA,154102,1,0,0
"37","003490","대한항공",30000,-500,-1.64,"KOSPI","운수창고업",10434624750000,NA,NA,14181,2.12,0,0
"38","361610","SK아이이테크놀로지",144000,6000,4.35,"KOSPI","전기전자",10266853248000,1521,94.67,19258,7.48,0,0
"39","000810","삼성화재",211000,-500,-0.24,"KOSPI","보험",9996090607000,17760,11.88,321574,0.66,8800,4.17
"40","011170","롯데케미칼",284500,8500,3.08,"KOSPI","화학",9751356705500,4623,61.54,374803,0.76,3600,1.27
"41","352820","하이브",260500,12000,4.83,"KOSPI","서비스업",9279989480000,2956,88.13,33218,7.84,0,0
"42","010130","고려아연",477500,22500,4.95,"KOSPI","철강금속",9.010425e+12,32418,14.73,369358,1.29,15000,3.14
"43","326030","SK바이오팜",113000,2000,1.8,"KOSPI","서비스업",8849397250000,NA,NA,4840,23.35,0,0
"44","018880","한온시스템",16550,550,3.44,"KOSPI","기계",8.83439e+12,207,79.95,3967,4.17,320,1.93
"45","009830","한화솔루션",44250,-400,-0.9,"KOSPI","화학",8464073492250,1860,23.79,35699,1.24,0,0
"46","030200","KT",32300,1050,3.36,"KOSPI","통신업",8433911398400,2684,12.03,53661,0.6,1350,4.18
"47","034220","LG디스플레이",23150,950,4.28,"KOSPI","전기전자",8283433455000,NA,NA,31863,0.73,0,0
"48","024110","기업은행",11000,200,1.85,"KOSPI","은행",8187306457000,1977,5.56,31597,0.35,471,4.28
"49","316140","우리금융지주",11300,200,1.8,"KOSPI","기타금융",8161624817900,1742,6.49,31918,0.35,360,3.19
"50","004020","현대제철",57500,2600,4.74,"KOSPI","철강금속",7673132637500,NA,NA,122488,0.47,500,0.87
"51","011780","금호석유",233000,5500,2.42,"KOSPI","화학",7098972003000,20881,11.16,94002,2.48,4200,1.8
"52","086280","현대글로비스",188000,4500,2.45,"KOSPI","운수창고업",7.05e+12,16165,11.63,135079,1.39,3500,1.86
"53","097950","CJ제일제당",458500,1000,0.22,"KOSPI","음식료품",6902344281000,42783,10.72,321970,1.42,4000,0.87
"54","032640","LG유플러스",15000,200,1.35,"KOSPI","통신업",6549170415000,1095,13.7,16891,0.89,450,3
"55","006800","미래에셋증권",10250,280,2.81,"KOSPI","증권",6511993182000,1213,8.45,11595,0.88,200,1.95
"56","002790","아모레G",76100,900,1.2,"KOSPI","화학",6275067498000,74,1028.38,33851,2.25,230,0.3
"57","161390","한국타이어앤테크놀로지",49650,1800,3.76,"KOSPI","화학",6150397175850,3032,16.38,59556,0.83,650,1.31
"58","021240","코웨이",81200,3700,4.77,"KOSPI","서비스업",5992529062800,5584,14.54,20207,4.02,1200,1.48
"59","000720","현대건설",53800,1200,2.28,"KOSPI","건설업",5990940157000,1097,49.04,59502,0.9,600,1.12
"60","267250","현대중공업지주",75700,1100,1.47,"KOSPI","화학",5979776534500,NA,NA,88804,0.85,3700,4.89
"61","071050","한국금융지주",105500,2500,2.43,"KOSPI","기타금융",5879092156000,14780,7.14,91124,1.16,3000,2.84
"62","035250","강원랜드",26300,50,0.19,"KOSPI","서비스업",5626635150000,NA,NA,15177,1.73,0,0
"63","034020","두산중공업",12600,100,0.8,"KOSPI","기계",5323265451000,NA,NA,8511,1.48,0,0
"64","241560","두산밥캣",50000,2000,4.17,"KOSPI","기계",5012458300000,2466,20.28,40637,1.23,0,0
"65","068760","셀트리온제약",134200,1600,1.21,"KOSDAQ","제약",4901890655200,574,233.8,8230,16.31,0,0
"66","011790","SKC",129000,1000,0.78,"KOSPI","화학",4885010442000,1048,123.09,47746,2.7,1000,0.78
"67","008930","한미사이언스",72200,5100,7.6,"KOSPI","기타금융",4859392914200,343,210.5,9788,7.38,200,0.28
"68","271560","오리온",119500,0,0,"KOSPI","음식료품",4724567774000,6769,17.65,46286,2.58,750,0.63
"69","011070","LG이노텍",193000,500,0.26,"KOSPI","전기전자",4567751651000,9978,19.34,102576,1.88,700,0.36
"70","078930","GS",49100,1450,3.04,"KOSPI","기타금융",4562145059800,NA,NA,88213,0.56,1900,3.87
"71","000100","유한양행",64400,500,0.78,"KOSPI","의약품",4506258559600,2943,21.88,25880,2.49,400,0.62
"72","006280","녹십자",376000,9500,2.59,"KOSPI","의약품",4394138288000,7101,52.95,95710,3.93,1500,0.4
"73","180640","한진칼",65700,-300,-0.45,"KOSPI","운수창고업",4353456367800,NA,NA,22665,2.9,0,0
"74","139480","이마트",155000,1000,0.65,"KOSPI","유통업",4320751945000,12378,12.52,325504,0.48,2000,1.29
"75","128940","한미약품",353500,13500,3.97,"KOSPI","의약품",4269672687000,997,354.56,60518,5.84,500,0.14
"76","016360","삼성증권",45500,600,1.34,"KOSPI","증권",4.06315e+12,5686,8,59542,0.76,2200,4.84
"77","004990","롯데지주",37700,100,0.27,"KOSPI","기타금융",3955078234900,NA,NA,60599,0.62,1000,2.65
"78","042660","대우조선해양",36600,-150,-0.41,"KOSPI","운수장비",3926838485400,583,62.78,36061,1.01,0,0
"79","000120","CJ대한통운",171500,2000,1.18,"KOSPI","운수창고업",3912316996000,5683,30.18,146331,1.17,0,0
"80","263750","펄어비스",59000,3200,5.73,"KOSDAQ","디지털컨텐츠",3906360500000,1655,35.65,9739,6.06,0,0
"81","003410","쌍용C&E",7670,80,1.05,"KOSPI","비금속광물",3864603093650,275,27.89,3353,2.29,440,5.74
"82","028050","삼성엔지니어링",19550,800,4.27,"KOSPI","서비스업",3.8318e+12,1249,15.65,8167,2.39,0,0
"83","029780","삼성카드",33050,150,0.46,"KOSPI","기타금융",3829136347550,3737,8.84,61450,0.54,1800,5.45
"84","293490","카카오게임즈",50900,200,0.39,"KOSDAQ","디지털컨텐츠",3797558092600,1388,36.67,13529,3.76,0,0
"85","006360","GS건설",44200,1400,3.27,"KOSPI","건설업",3778696365600,3919,11.28,51311,0.86,1200,2.71
"86","005940","NH투자증권",13400,400,3.08,"KOSPI","증권",3770879085800,1923,6.97,19308,0.69,700,5.22
"87","010140","삼성중공업",5970,30,0.51,"KOSPI","운수장비",3.7611e+12,NA,NA,5910,1.01,0,0
"88","010620","현대미포조선",93900,2900,3.19,"KOSPI","운수장비",3750567791100,NA,NA,58248,1.61,0,0
"89","247540","에코프로비엠",169200,500,0.3,"KOSDAQ","일반전기전자",3708773647200,2256,75,21088,8.02,450,0.27
"90","028670","팬오션",6910,90,1.32,"KOSPI","운수창고업",3693875327920,173,39.94,5250,1.32,50,0.72
"91","008770","호텔신라",93900,-1600,-1.68,"KOSPI","유통업",3685398561900,NA,NA,15588,6.02,200,0.21
"92","005830","DB손해보험",51800,1100,2.17,"KOSPI","보험",3.66744e+12,9171,5.65,90596,0.57,2200,4.25
"93","019170","신풍제약",69200,1900,2.82,"KOSPI","의약품",3666561308000,100,692,6766,10.23,100,0.14
"94","028300","에이치엘비",32550,500,1.56,"KOSDAQ","운송장비·부품",3452632858500,NA,NA,4533,7.18,0,0
"95","081660","휠라홀딩스",55700,0,0,"KOSPI","유통업",3383898765400,2306,24.15,21274,2.62,185,0.33
"96","036490","SK머티리얼즈",320400,4500,1.42,"KOSDAQ","반도체",3379474429200,13940,22.98,41447,7.73,4000,1.25
"97","088350","한화생명",3855,45,1.18,"KOSPI","보험",3348183150000,184,20.95,14584,0.26,30,0.78
"98","035760","CJ ENM",151800,1100,0.73,"KOSDAQ","방송서비스",3328845577200,2870,52.89,156746,0.97,1600,1.05
"99","039490","키움증권",126000,2000,1.61,"KOSPI","증권",3287496996000,30319,4.16,111919,1.13,3000,2.38
"100","023530","롯데쇼핑",115500,-1500,-1.28,"KOSPI","유통업",3267351202500,NA,NA,346484,0.33,2800,2.42
"101","047040","대우건설",7770,420,5.71,"KOSPI","건설업",3229387897260,691,11.24,6435,1.21,0,0
"102","298020","효성티앤씨",744000,21000,2.9,"KOSPI","화학",3219795408000,31698,23.47,138867,5.36,5000,0.67
"103","001040","CJ",109500,1500,1.39,"KOSPI","기타금융",3194881281000,2581,42.43,130202,0.84,2000,1.83
"104","204320","만도",67300,1800,2.75,"KOSPI","운수장비",3160214176000,124,542.74,34872,1.93,0,0
"105","282330","BGF리테일",182000,1500,0.83,"KOSPI","유통업",3145670892000,7103,25.62,40317,4.51,2400,1.32
"106","047810","한국항공우주",32250,1000,3.2,"KOSPI","운수장비",3143572200750,766,42.1,12264,2.63,200,0.62
"107","196170","알테오젠",73400,600,0.82,"KOSDAQ","기타서비스",3091927290000,NA,NA,4637,15.83,0,0
"108","004170","신세계",311500,-7000,-2.2,"KOSPI","유통업",3066773881500,NA,NA,349650,0.89,1500,0.48
