"","code","name","stock"
"2022","00260985","한빛네트","036720"
"2034","00264529","엔플렉스","040130"
"2035","00358545","동서정보기술","055000"
"2800","00231567","애드모바일","032600"
"3912","00247939","씨모스","037600"
"3915","00359614","리더컴","056140"
"3985","00153551","허메스홀딩스","012400"
"4018","00344746","유티엑스","045880"
"4095","00261188","글로포스트","037830"
"4096","00268020","쏠라엔텍","030390"
"4097","00269287","보홍","041320"
"4142","00475286","동북아1호선박투자회사","078420"
"4149","00250775","에듀아크","046350"
"4168","00114321","데코","013650"
"4249","00191108","엘앤씨피","015390"
"4266","00167378","희훈디앤지","019640"
"4273","00225210","퓨쳐인포넷","058690"
"4278","00223346","쓰리디넷","035400"
"4280","00174129","제일저축은행","024100"
"4281","00114826","제일창업투자","026540"
"4305","00173333","현대DSF","016510"
"4307","00687599","네프로아이티","950030"
"4368","00256292","자강","036790"
"4379","00271431","케이엠에스","038830"
"4407","00154727","에버리소스","020070"
"4408","00246189","제이에스","037110"
"4450","00154204","태창기업","007490"
"4457","00152631","에이치비이에너지","017300"
"4459","00107923","남한제지","001950"
"4467","00358095","코어비트","056850"
"4485","00510215","동북아8호선박투자회사","082110"
"4546","00347619","한국통신데이타","045760"
"4556","00372013","케너텍","062730"
"4564","00353735","다휘","055250"
"4594","00186540","코오롱아이넷","022520"
"4665","00128759","캠브리지코오롱","004620"
"4681","00535588","네오세미테크","089240"
"4690","00264981","디에이치패션","045260"
"4722","00231521","핸디소프트","032380"
"4725","00159908","케이엠에이치","009690"
"4773","00259493","씨엘엘씨디","035710"
"4780","00359641","현대푸드시스템","114410"
"4809","00103325","고제","002540"
"4810","00161639","메리츠종합금융","012420"
"4827","00211271","제넥셀세인","034660"
"4828","00388272","쓰리디월드","065340"
"4865","00264796","스톰이앤에프","043680"
"4892","00134909","소예","035010"
"4946","00236368","엠엔에프씨","048640"
"4954","00684547","하이트맥주","103150"
"4986","00251385","보광티에스","066690"
"4987","00262682","아인스엠앤엠","040740"
"5150","00234555","씨엔씨엔터프라이즈","038420"
"5164","00507257","아이알디","084810"
"5193","00417963","바이나믹","067850"
"5300","00543523","코크렙제7호위탁관리부동산투자회사","086720"
"5301","00300566","엔빅스","054170"
"5397","00299376","선팩테크","054010"
"5442","00112068","마이크로닉스","001190"
"5461","00257194","블루스톤디앤아이","033720"
"5502","00477372","신지소프트","078700"
"5574","00465410","맥쿼리센트럴오피스기업구조조정부동산투자회사","076850"
"5620","00331760","테스텍","048510"
"5673","00200761","중앙디자인","030030"
"5771","00268297","에코페트로시스템","042870"
"5790","00161301","한림창업투자","021060"
"5839","00237260","헤쎄나","036270"
"5875","00297970","미래에셋굿라이프혼합형자녀를위한투자회사10-1","037510"
"5923","00107358","일공공일안경콘택트","032030"
"5987","00115427","신동방CP","004660"
"6094","00267474","지앤알","043630"
"6116","00134051","셀런","013240"
"6130","00596066","한국베트남15-1유전해외자원개발투자회사","093820"
"6196","00347363","에이치원바이오","052310"
"6207","00150226","씨앤중공업","008400"
"6208","00152914","FnC코오롱","001370"
"6244","00158839","제너비오믹스","017010"
"6261","00159281","케드콤","011050"
"6310","00210537","지엔텍홀딩스","065410"
"6324","00240370","동부씨엔아이","044640"
"6344","00247887","아이피에스","051820"
"6353","00268358","에스브이에이치","046240"
"6391","00316488","제이콤","060750"
"6403","00264130","옥션","043790"
"6410","00540304","네이쳐글로벌","088020"
"6430","00617299","GB블루오션베트남주식혼합형투자회사1호","094950"
"6479","00262275","엠씨티티코어","052210"
"6497","00200798","에이스앤파트너스","032930"
"6515","00335924","지앤디윈텍","061050"
"6537","00111591","인터피온반도체","014010"
"6538","00189343","솔로몬저축은행","007800"
"6548","00252588","엠트론스토리지테크놀로지","046320"
"6589","00267997","에스티앤아이","031800"
"6594","00367376","사이노젠","064060"
"6595","00299686","유퍼트","060670"
"6597","00463050","엑스로드","074140"
"6598","00238913","선우중공업","068770"
"6637","00107446","남양","003020"
"6642","00114303","엘지데이콤","015940"
"6643","00318617","LG파워콤","045820"
"6649","00267775","동산진흥","031960"
"6650","00394574","티이씨","067950"
"6651","00110176","한국기술산업","008320"
"6673","00349787","지케이파워","054020"
"6674","00136554","스타맥스","017050"
"6710","00144562","유성티에스아이","024870"
"6930","00370547","네오리소스","058550"
"6956","00242439","케이알","035950"
"6981","00134060","씨앤상선","000790"
"7098","00392600","투미비티","058900"
"7161","00259855","코아정보시스템","039990"
"7171","00385451","케이에스리소스","066340"
"7172","00258944","세계투어","047600"
"7271","00798530","동양밸류오션기업인수목적","122290"
"7293","00451268","케이이엔지","077960"
"7296","00336570","사이버패스","063280"
"7301","00363325","산양전기","079870"
"7311","00148188","으뜸상호저축은행","032150"
"7349","00508566","국제개발","080570"
"7373","00133928","세신","004230"
