"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"1","095570","AJ네트웍스","KOSPI","서비스업",5550,0,0,259863737250
"2","006840","AK홀딩스","KOSPI","기타금융",25900,-550,-2.08,343111829900
"3","027410","BGF","KOSPI","기타금융",5700,-60,-1.04,545585708700
"4","282330","BGF리테일","KOSPI","유통업",167000,2500,1.52,2886412302000
"5","138930","BNK금융지주","KOSPI","기타금융",8650,-120,-1.37,2819339877900
"6","001460","BYC","KOSPI","섬유의복",436000,1000,0.23,272332140000
"7","001465","BYC우","KOSPI","섬유의복",178000,500,0.28,38338530000
"8","001040","CJ","KOSPI","기타금융",95300,-2200,-2.26,2780567909400
"9","079160","CJ CGV","KOSPI","서비스업",31100,-1400,-4.31,1171699373100
"10","00104K","CJ4우(전환)","KOSPI","기타금융",81100,-1200,-1.46,342770123200
"11","000120","CJ대한통운","KOSPI","운수창고업",145500,-3000,-2.02,3319196052000
"12","011150","CJ씨푸드","KOSPI","음식료품",3905,-20,-0.51,140309668565
"13","011155","CJ씨푸드1우","KOSPI","음식료품",39850,-100,-0.25,7.97e+09
"14","001045","CJ우","KOSPI","기타금융",60800,-500,-0.82,137421558400
"15","097950","CJ제일제당","KOSPI","음식료품",386000,-1500,-0.39,5810915796000
"16","097955","CJ제일제당 우","KOSPI","음식료품",195000,-1500,-0.76,258849435000
"17","000590","CS홀딩스","KOSPI","기타금융",64900,-100,-0.15,74925881800
"18","012030","DB","KOSPI","서비스업",1050,-15,-1.41,211232629650
"19","016610","DB금융투자","KOSPI","증권",7090,70,1,300944898010
"20","005830","DB손해보험","KOSPI","보험",58300,-2000,-3.32,4.12764e+12
"21","000990","DB하이텍","KOSPI","전기전자",58400,-200,-0.34,2592877539200
"22","000995","DB하이텍1우","KOSPI","전기전자",100500,-2000,-1.95,11287758000
"23","139130","DGB금융지주","KOSPI","기타금융",10050,-400,-3.83,1699915621650
"24","001530","DI동일","KOSPI","유통업",289500,1500,0.52,726834622500
"25","000210","DL","KOSPI","기타금융",66400,-1600,-2.35,1391470697600
"26","001880","DL건설","KOSPI","건설업",29800,300,1.02,657187863200
"27","000215","DL우","KOSPI","기타금융",40700,-550,-1.33,68624880500
"28","375500","DL이앤씨","KOSPI","건설업",136500,-2000,-1.44,2642467737000
"29","37550K","DL이앤씨우","KOSPI","건설업",77000,-900,-1.16,162769145000
"30","004840","DRB동일","KOSPI","화학",5580,-90,-1.59,111209400000
"31","155660","DSR","KOSPI","철강금속",6580,-360,-5.19,1.0528e+11
"32","069730","DSR제강","KOSPI","철강금속",6410,-240,-3.61,9.2304e+10
"33","017940","E1","KOSPI","유통업",53100,-600,-1.12,3.64266e+11
"34","365550","ESR켄달스퀘어리츠","KOSPI","서비스업",6490,-140,-2.11,929750910000
"35","383220","F&F","KOSPI","섬유의복",863000,-24000,-2.71,6611801145000
"36","007700","F&F홀딩스","KOSPI","섬유의복",37250,-1400,-3.62,1457010170750
"37","114090","GKL","KOSPI","서비스업",15900,-350,-2.15,983505153000
"38","078930","GS","KOSPI","기타금융",42700,-750,-1.73,3967486640600
"39","006360","GS건설","KOSPI","건설업",42450,-350,-0.82,3632934250500
"40","001250","GS글로벌","KOSPI","유통업",2600,80,3.17,214587786400
"41","007070","GS리테일","KOSPI","유통업",32550,-350,-1.06,3408568361100
"42","078935","GS우","KOSPI","기타금융",37050,-50,-0.13,66127803300
"43","012630","HDC","KOSPI","기타금융",10550,-150,-1.4,630275156550
"44","039570","HDC아이콘트롤스","KOSPI","건설업",11700,-250,-2.09,1.92582e+11
"45","089470","HDC현대EP","KOSPI","화학",5650,-90,-1.57,1.80235e+11
"46","294870","HDC현대산업개발","KOSPI","건설업",25550,-350,-1.35,1683932281500
"47","011200","HMM","KOSPI","운수창고업",26750,-650,-2.37,10844249027250
"48","082740","HSD엔진","KOSPI","기계",8840,-360,-3.91,413015814640
"49","003560","IHQ","KOSPI","서비스업",1770,-80,-4.32,258837273960
"50","175330","JB금융지주","KOSPI","기타금융",8610,-120,-1.37,1696022717340
"51","234080","JW생명과학","KOSPI","의약품",16000,0,0,253352864000
"52","001060","JW중외제약","KOSPI","의약품",23700,-100,-0.42,510496246200
"53","001067","JW중외제약2우B","KOSPI","의약품",56500,-200,-0.35,5256082000
"54","001065","JW중외제약우","KOSPI","의약품",32950,-50,-0.15,5848163700
"55","096760","JW홀딩스","KOSPI","기타금융",3880,-55,-1.4,265551786160
"56","105560","KB금융","KOSPI","기타금융",55400,-1600,-2.81,23035758768000
"57","002380","KCC","KOSPI","화학",320500,-7500,-2.29,2848113955500
"58","344820","KCC글라스","KOSPI","비금속광물",60100,-400,-0.66,959827771200
"59","009070","KCTC","KOSPI","운수창고업",6640,70,1.07,1.992e+11
"60","009440","KC그린홀딩스","KOSPI","기타금융",5230,40,0.77,117334945400
"61","119650","KC코트렐","KOSPI","기계",7010,-70,-0.99,1.23376e+11
"62","092220","KEC","KOSPI","전기전자",3380,-315,-8.53,394469457200
"63","016380","KG동부제철","KOSPI","철강금속",11400,-200,-1.72,1140101425800
"64","016385","KG동부제철우","KOSPI","철강금속",96500,-3200,-3.21,5151652500
"65","001390","KG케미칼","KOSPI","화학",42700,1700,4.15,592082299200
"66","033180","KH 필룩스","KOSPI","전기전자",3155,-40,-1.25,431383982920
"67","001940","KISCO홀딩스","KOSPI","철강금속",18100,-250,-1.36,334422478000
"68","025000","KPX케미칼","KOSPI","화학",58700,0,0,2.84108e+11
"69","092230","KPX홀딩스","KOSPI","화학",66200,0,0,279671565200
"70","000040","KR모터스","KOSPI","운수장비",998,-12,-1.19,95945093264
"71","044450","KSS해운","KOSPI","운수창고업",11950,-500,-4.02,277071266000
"72","030200","KT","KOSPI","통신업",30500,-650,-2.09,7963910144000
"73","033780","KT&G","KOSPI","기타제조업",83600,-300,-0.36,11477652749200
"74","030210","KTB투자증권","KOSPI","증권",6350,-90,-1.4,382994484200
"75","058850","KTcs","KOSPI","서비스업",2680,-40,-1.47,114395800000
"76","058860","KTis","KOSPI","서비스업",2520,-40,-1.56,87701040000
"77","093050","LF","KOSPI","섬유의복",18900,-50,-0.26,5.52636e+11
"78","003550","LG","KOSPI","기타금융",92400,-700,-0.75,14534611753200
"79","034220","LG디스플레이","KOSPI","전기전자",20050,400,2.04,7174204785000
"80","051900","LG생활건강","KOSPI","화학",1231000,14000,1.15,19226000507000
"81","051905","LG생활건강우","KOSPI","화학",628000,4000,0.64,1318609716000
"82","003555","LG우","KOSPI","기타금융",67000,-400,-0.59,202448540000
"83","032640","LG유플러스","KOSPI","통신업",14250,-200,-1.38,6221711894250
"84","011070","LG이노텍","KOSPI","전기전자",211500,-3500,-1.63,5005593130500
"85","066570","LG전자","KOSPI","전기전자",122000,-1000,-0.81,19965033308000
"86","066575","LG전자우","KOSPI","전기전자",63800,-400,-0.62,1096466289600
"87","037560","LG헬로비전","KOSPI","서비스업",7010,-140,-1.96,542902523650
"88","051910","LG화학","KOSPI","화학",784000,-47000,-5.66,55344396912000
"89","051915","LG화학우","KOSPI","화학",359500,-18000,-4.77,2764123600000
"90","079550","LIG넥스원","KOSPI","기계",46900,300,0.64,1.0318e+12
"91","006260","LS","KOSPI","기타금융",62400,-400,-0.64,2.00928e+12
"92","010120","LS ELECTRIC","KOSPI","전기전자",59300,-700,-1.17,1.779e+12
"93","000680","LS네트웍스","KOSPI","유통업",3370,-190,-5.34,265566163920
"94","229640","LS전선아시아","KOSPI","기타금융",8380,70,0.84,256636486020
"95","001120","LX인터내셔널","KOSPI","유통업",26750,-150,-0.56,1.03683e+12
"96","108670","LX하우시스","KOSPI","화학",69700,-400,-0.57,625046599000
"97","108675","LX하우시스우","KOSPI","화학",33100,-350,-1.05,34170123000
"98","383800","LX홀딩스","KOSPI","기타금융",8940,-60,-0.67,681949368600
"99","38380K","LX홀딩스1우","KOSPI","기타금융",13850,50,0.36,20294197250
"100","023150","MH에탄올","KOSPI","음식료품",11450,-450,-3.78,84484122700
"101","035420","NAVER","KOSPI","서비스업",402500,-7500,-1.83,66116016487500
"102","181710","NHN","KOSPI","서비스업",80800,-1700,-2.06,1580854020000
"103","005940","NH투자증권","KOSPI","증권",12900,-150,-1.15,3831737142300
"104","005945","NH투자증권우","KOSPI","증권",12500,-50,-0.4,235887100000
"105","338100","NH프라임리츠","KOSPI","서비스업",4900,-10,-0.2,9.1434e+10
"106","034310","NICE","KOSPI","서비스업",16700,-300,-1.76,632634410000
"107","008260","NI스틸","KOSPI","철강금속",3870,-65,-1.65,110682452790
"108","004250","NPC","KOSPI","화학",6080,-130,-2.09,223257600000
"109","004255","NPC우","KOSPI","화학",3180,5,0.16,16790400000
"110","010060","OCI","KOSPI","화학",127000,500,0.4,3028870117000
"111","178920","PI첨단소재","KOSPI","화학",45950,-1050,-2.23,1349382495900
"112","005490","POSCO","KOSPI","철강금속",300500,2500,0.84,26199643917500
"113","010950","S-Oil","KOSPI","화학",1e+05,-2500,-2.44,11258279200000
"114","010955","S-Oil우","KOSPI","화학",61000,-1200,-1.93,245337547000
