"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE","market"
"1","005930","삼성전자","43,850","400","-0.90%","100","2,617,750","5,969,783",56.73,"8,465,288","9.74","20.22","코스피"
"2","000660","SK하이닉스","67,800","1,900","-2.73%","5,000","493,586","728,002",50.25,"4,578,008","4.64","36.80","코스피"
"3","005935","삼성전자우","35,500","200","-0.56%","100","292,125","822,887",92.7,"972,625","7.88","N/A","코스피"
"4","005380","현대차","124,500","3,000","+2.47%","5,000","266,017","213,668",44.58,"525,470","8.81","5.92","코스피"
"5","068270","셀트리온","210,000","0","0.00%","1,000","263,469","125,461",19.67,"385,651","67.05","17.84","코스피"
"6","051910","LG화학","372,500","1,000","-0.27%","5,000","262,956","70,592",38.26,"162,515","14.99","12.92","코스피"
"7","207940","삼성바이오로직스","379,000","3,000","-0.79%","2,500","250,765","66,165",8.48,"66,943","-258.53","-2.41","코스피"
"8","035420","NAVER","138,000","2,500","+1.85%","100","227,442","164,813",59.43,"339,814","29.43","18.50","코스피"
"9","015760","한국전력","35,400","250","-0.70%","5,000","227,255","641,964",28.83,"629,057","17.50","1.81","코스피"
"10","005490","POSCO","254,500","1,000","-0.39%","5,000","221,890","87,187",54.21,"148,957","7.95","6.48","코스피"
"11","017670","SK텔레콤","259,000","2,000","-0.77%","500","209,131","80,746",40.68,"125,491","8.04","15.38","코스피"
"12","028260","삼성물산","110,000","2,500","-2.22%","100","208,659","189,690",14.1,"281,276","32.89","3.13","코스피"
"13","012330","현대모비스","212,000","2,000","+0.95%","5,000","206,369","97,344",46.36,"197,581","13.16","5.43","코스피"
"14","055550","신한지주","42,550","200","-0.47%","5,000","201,772","474,200",67.12,"733,146","6.92","9.13","코스피"
"15","051900","LG생활건강","1,240,000","2,000","+0.16%","5,000","193,666","15,618",45.53,"21,782","32.18","20.98","코스피"
"16","034730","SK","274,000","4,000","+1.48%","200","192,787","70,360",26.64,"65,355","11.59","12.53","코스피"
"17","105560","KB금융","43,050","100","-0.23%","5,000","179,997","418,112",66.52,"1,236,631","5.44","10.18","코스피"
"18","018260","삼성에스디에스","231,000","500","-0.22%","500","178,743","77,378",12.68,"49,896","33.70","9.91","코스피"
