"","종목코드","종목명","종가","EPS","PER","BPS","PBR","배당수익률","시장구분","시가총액","섹터","ROE","style","시총비중"
"1","005930","삼성전자",38700,"5,997",6.45,"28,126",1.38,2.2,"코스피",231030584685000,"IT",0.214,"growth",0.152982359271063
"2","000660","SK하이닉스",60500,"15,073",4.01,"46,449",1.3,1.65,"코스피",44044143082500,"IT",0.3242,"growth",0.0291648697942744
"3","068270","셀트리온",222500,"3,150",70.63,"19,041",11.69,0,"코스피",27913989592500,"건강관리",0.1655,"growth",0.0184839076192054
"4","207940","삼성바이오로직스",386500,"-",NA,"60,099",6.43,0,"코스피",25572772500000,"건강관리",NA,"growth",0.0169336154149731
"5","005380","현대차",118500,"14,993",7.9,"242,062",0.49,3.38,"코스피",25319680159500,"경기관련소비재",0.062,"value",0.0167660243429255
"6","051910","LG화학",347000,"25,367",13.68,"206,544",1.68,1.73,"코스피",24495543021000,"소재",0.1228,"growth",0.0162203024681247
"7","017670","SK텔레콤",269500,"36,582",7.37,"220,967",1.22,3.71,"코스피",21760969114500,"전기통신서비스",0.1655,"growth",0.0144095397572574
"8","015760","한국전력",33100,"2,023",16.36,"111,660",0.3,2.39,"코스피",21249010948700,"유틸리티",0.0183,"value",0.0140705345638154
"9","005490","POSCO",243000,"34,464",7.05,"501,600",0.48,3.29,"코스피",21186400905000,"소재",0.0681,"value",0.0140290758443461
"10","035420","NAVER",122000,"5,320",22.93,"28,936",4.22,0.24,"코스피",20107234190000,"IT",0.184,"growth",0.0133144801109171
"11","028260","삼성물산",105500,"3,879",27.2,"117,902",0.89,1.9,"코스피",20012299536500,"산업재",0.0327,"value",0.0132516168874663
"12","105560","KB금융",46500,"8,305",5.6,"81,411",0.57,4.13,"코스피",19442186470500,"금융",0.1018,"value",0.0128741030530671
"13","055550","신한지주",39600,"6,116",6.47,"69,210",0.57,3.66,"코스피",18778303645200,"금융",0.0881,"value",0.0124344973574298
"14","012330","현대모비스",190000,"16,558",11.47,"300,935",0.63,1.84,"코스피",18495333970000,"경기관련소비재",0.0549,"value",0.0122471223024202
"15","034730","SK",260000,"30,007",8.66,"192,595",1.35,1.54,"코스피",18293677220000,"산업재",0.1559,"growth",0.0121135905216821
"16","051900","LG생활건강",1101000,"36,199",30.42,"169,155",6.51,0.82,"코스피",17195634897000,"경기관련소비재",0.214,"growth",0.0113864958585186
"17","096770","SK이노베이션",179500,"22,574",7.95,"192,989",0.93,4.46,"코스피",16597568738000,"에너지",0.117,"value",0.0109904722232551
"18","032830","삼성생명",81600,"6,494",12.57,"146,795",0.56,2.45,"코스피",1.632e+13,"금융",0.0446,"value",0.0108066735263985
