"","시장구분","종목코드","종목명","산업분류","현재가(종가)","전일대비","시가총액(원)"
"1","코스피","030720","동원수산","어업",9000,-100,41884245000
"2","코스피","007160","사조산업","어업",49850,-150,2.4925e+11
"3","코스피","006040","동원산업","어업",203000,-4500,682729600000
"4","코스피","004970","신라교역","어업",12900,150,2.064e+11
"5","코스피","003580","넥스트사이언스","광업",6100,-230,137311128100
"6","코스피","006090","사조오양","음식료품",9730,70,91683250470
"7","코스피","011155","CJ씨푸드1우","음식료품",27150,0,5.43e+09
"8","코스피","011150","CJ씨푸드","음식료품",2320,50,83359393360
"9","코스피","007310","오뚜기","음식료품",724000,4000,2610191588000
"10","코스피","005610","SPC삼립","음식료품",127500,1500,1100198647500
"11","코스피","002140","고려산업","음식료품",2170,-5,54118552250
"12","코스피","084870","TBH글로벌","섬유의복",2990,40,62361888810
"13","코스피","016090","대현","섬유의복",2305,95,102070724550
"14","코스피","008500","일정실업","섬유의복",19250,-350,2.31e+10
"15","코스피","003610","방림","섬유의복",24700,300,104515802300
"16","코스피","002070","남영비비안","섬유의복",6160,0,42306541200
"17","코스피","011280","태림포장","종이목재",3975,170,281453611500
"18","코스피","298050","효성첨단소재","화학",103000,-1000,461434644000
"19","코스피","298020","효성티앤씨","화학",185000,-500,800621170000
"20","코스피","298000","효성화학","화학",142000,-500,452997892000
"21","코스피","192820","코스맥스","화학",130000,2000,1306436170000
"22","코스피","079980","휴비스","화학",7510,90,2.59095e+11
"23","코스피","081000","일진다이아","화학",28150,2800,317474996250
"24","코스피","015890","태경산업","화학",5580,-10,163096425000
"25","코스피","011170","롯데케미칼","화학",277000,-2500,9494291063000
"26","코스피","008730","율촌화학","화학",12900,-100,3.1992e+11
"27","코스피","008490","서흥","화학",23400,200,270717244200
"28","코스피","006060","화승인더","화학",6840,560,378388800000
"29","코스피","005950","이수화학","화학",10000,-100,1.5278e+11
"30","코스피","004000","롯데정밀화학","화학",41050,150,1.05909e+12
"31","코스피","002100","경농","화학",10800,250,234270900000
"32","코스피","293480","하나제약","의약품",22500,500,3.645e+11
"33","코스피","234080","JW생명과학","의약품",21950,950,347568460300
"34","코스피","128940","한미약품","의약품",464000,13500,5282960624000
"35","코스피","005500","삼진제약","의약품",40150,200,5.58085e+11
"36","코스피","047400","유니온머티리얼","비금속광물",1815,10,7.623e+10
"37","코스피","004989","성신양회3우B","비금속광물",10800,100,3098498400
"38","코스피","007210","벽산","비금속광물",2450,-70,1.67972e+11
"39","코스피","004987","성신양회2우B","비금속광물",14300,50,3155909900
"40","코스피","004985","성신양회우","비금속광물",9800,410,7209321000
"41","코스피","004980","성신양회","비금속광물",11900,300,285700935800
"42","코스피","004090","한국석유","비금속광물",134500,500,88124400000
"43","코스피","306200","세아제강","철강금속",57000,-200,161669100000
"44","코스피","280360","롯데제과","음식료품",151000,-5000,635574402000
"45","코스피","271560","오리온","음식료품",120000,6000,4744075320000
"46","코스피","271980","제일약품","의약품",46600,2650,685247035200
"47","코스피","26490K","크라운제과우","음식료품",7600,140,5879056000
"48","코스피","264900","크라운제과","음식료품",9300,-280,116471805000
"49","코스피","248170","샘표식품","음식료품",27850,750,127226765100
"50","코스피","101530","해태제과식품","음식료품",9300,60,270786444600
"51","코스피","014710","사조씨푸드","음식료품",6340,40,109165562620
"52","코스피","014825","동원시스템즈우","화학",21800,0,5784804400
"53","코스피","014820","동원시스템즈","화학",27350,150,700666275850
"54","코스피","014830","유니드","화학",42000,-750,373373406000
"55","코스피","014680","한솔케미칼","화학",77500,2800,875377612500
"56","코스피","014530","극동유화","화학",3295,5,114894738900
"57","코스피","014580","백광소재","비금속광물",2600,15,71716060000
"58","코스피","145995","삼양사우","음식료품",35200,0,13026464000
"59","코스피","145990","삼양사","음식료품",55000,-800,565939165000
"60","코스피","000087","하이트진로2우B","음식료품",14500,300,16387001000
"61","코스피","000080","하이트진로","음식료품",16600,-350,1164217942600
"62","코스피","000105","유한양행우","의약품",191000,-4000,45111908000
"63","코스피","000100","유한양행","의약품",204500,-1000,2496812893000
"64","코스피","136490","선진","음식료품",11350,-100,269898505400
"65","코스피","033920","무학","음식료품",13600,200,3.876e+11
"66","코스피","001799","대한제당3우B","음식료품",26000,650,3371056000
"67","코스피","001795","대한제당우","음식료품",12200,200,7908967200
"68","코스피","001790","대한제당","음식료품",19000,-350,167960038000
"69","코스피","097955","CJ제일제당 우","음식료품",125000,500,165929125000
"70","코스피","097950","CJ제일제당","음식료품",330500,5000,4975408473000
"71","코스피","079660","사조해표","음식료품",10150,100,7.2674e+10
"72","코스피","027740","마니커","음식료품",769,24,121865424786
"73","코스피","027970","세하","종이목재",1380,0,40796935860
"74","코스피","002600","조흥","음식료품",182500,3000,1.095e+11
"75","코스피","002380","KCC","화학",309000,3000,3261962517000
"76","코스피","002360","SH에너지화학","화학",1100,5,122247103000
"77","코스피","002390","한독","의약품",30700,350,422540463100
"78","코스피","049770","동원F&B","음식료품",287500,5500,1109498150000
"79","코스피","036580","팜스코","음식료품",7780,-50,285743396540
"80","코스피","023150","MH에탄올","음식료품",5890,230,43459518140
"81","코스피","008040","사조동아원","음식료품",1185,0,167256351000
"82","코스피","007980","태평양물산","섬유의복",2565,50,128023618230
"83","코스피","008250","이건산업","종이목재",10250,150,109836622000
"84","코스피","006980","우성사료","음식료품",2405,45,74314500000
"85","코스피","006890","태경화학","화학",4640,80,5.3824e+10
"86","코스피","005305","롯데칠성우","음식료품",646000,-7000,50085026000
"87","코스피","005300","롯데칠성","음식료품",1400000,-5000,1119084400000
"88","코스피","005180","빙그레","음식료품",72500,-1800,714214972500
"89","코스피","005070","코스모신소재","화학",17350,150,342627192750
"90","코스피","005090","삼광글라스","비금속광물",28900,600,140292680200
"91","코스피","004415","서울식품우","음식료품",3725,85,8286262500
"92","코스피","004410","서울식품","음식료품",177,5,59721570000
