"","섹터","종목코드","종목명"
"1","에너지","096770","SK이노베이션"
"2","에너지","010950","S-Oil"
"3","에너지","078930","GS"
"4","에너지","067630","에이치엘비생명과학"
"5","에너지","006120","SK디스커버리"
"6","에너지","002960","한국쉘석유"
"7","에너지","091090","세원셀론텍"
"8","에너지","112240","에스에프씨"
"9","에너지","011930","신성이엔지"
"10","에너지","056730","포스링크"
"11","에너지","043200","파루"
"12","에너지","003650","미창석유"
"13","에너지","128820","대성산업"
"14","에너지","095910","에스에너지"
"15","에너지","099220","SDN"
"16","에너지","014530","극동유화"
"17","에너지","060900","퍼시픽바이오"
"18","에너지","043220","에이치엘비파워"
"19","에너지","103130","웅진에너지"
"20","에너지","038620","위즈코프"
"21","에너지","065420","에스아이리소스"
"22","에너지","137950","제이씨케미칼"
"23","에너지","093230","이아이디"
"24","에너지","024060","흥구석유"
"25","에너지","000440","중앙에너비스"
"26","소재","005490","POSCO"
"27","소재","051910","LG화학"
"28","소재","011170","롯데케미칼"
"29","소재","004020","현대제철"
"30","소재","010130","고려아연"
"31","소재","009830","한화케미칼"
"32","소재","010060","OCI"
"33","소재","011780","금호석유"
"34","소재","003670","포스코켐텍"
"35","소재","000880","한화"
"36","소재","120110","코오롱인더"
"37","소재","004000","롯데정밀화학"
"38","소재","011790","SKC"
"39","소재","014680","한솔케미칼"
"40","소재","005690","파미셀"
"41","소재","086520","에코프로"
"42","소재","069260","휴켐스"
"43","소재","285130","SK케미칼"
"44","소재","001230","동국제강"
"45","소재","006650","대한유화"
"46","소재","003240","태광산업"
"47","소재","103140","풍산"
"48","소재","178920","SKC코오롱PI"
"49","소재","004800","효성"
"50","소재","115390","락앤락"
"51","소재","093370","후성"
"52","소재","004430","송원산업"
"53","소재","213500","한솔제지"
"54","소재","298050","효성첨단소재"
"55","소재","298000","효성화학"
"56","소재","005070","코스모신소재"
"57","소재","006840","AK홀딩스"
"58","소재","025860","남해화학"
"59","소재","001430","세아베스틸"
"60","소재","014830","유니드"
"61","소재","065620","제낙스"
"62","소재","007690","국도화학"
"63","소재","002020","코오롱"
"64","소재","004150","한솔홀딩스"
"65","소재","006380","카프로"
"66","소재","104830","원익머트리얼즈"
"67","소재","012610","경인양행"
"68","소재","002240","고려제강"
"69","소재","008970","동양철관"
"70","소재","002810","삼영무역"
"71","소재","002310","아세아제지"
"72","소재","161000","애경유화"
"73","소재","009520","포스코엠텍"
"74","소재","014820","동원시스템즈"
"75","소재","009580","무림P&P"
"76","소재","005420","코스모화학"
"77","소재","102260","동성코퍼레이션"
"78","소재","081000","일진다이아"
"79","소재","005810","풍산홀딩스"
"80","소재","001390","KG케미칼"
"81","소재","104700","한국철강"
"82","소재","104480","티케이케미칼"
"83","소재","102710","이엔에프테크놀로지"
"84","소재","008730","율촌화학"
"85","소재","016590","신대양제지"
"86","소재","002030","아세아"
"87","소재","115960","연우"
"88","소재","000970","한국주철관"
"89","소재","121600","나노신소재"
"90","소재","079980","휴비스"
"91","소재","009460","한창제지"
"92","소재","089980","상아프론테크"
"93","소재","069460","대호에이엘"
"94","소재","001780","알루코"
"95","소재","091970","나노캠텍"
"96","소재","001940","KISCO홀딩스"
"97","소재","078130","국일제지"
"98","소재","025000","KPX케미칼"
"99","소재","005950","이수화학"
"100","소재","017890","한국알콜"
"101","소재","000180","성창기업지주"
"102","소재","011280","태림포장"
"103","소재","002360","SH에너지화학"
"104","소재","268280","미원에스씨"
"105","소재","306200","세아제강"
"106","소재","065940","바이오빌"
"107","소재","003030","세아제강지주"
"108","소재","004560","현대비앤지스틸"
"109","소재","048470","대동스틸"
"110","소재","000480","조선내화"
"111","소재","290380","대유"
"112","소재","004890","동일산업"
"113","소재","138490","코오롱플라스틱"
"114","소재","272550","삼양패키징"
"115","소재","251370","와이엠티"
"116","소재","005160","동국산업"
"117","소재","015890","태경산업"
"118","소재","014190","원익큐브"
"119","소재","084010","대한제강"
"120","소재","004250","NPC"
"121","소재","014160","대영포장"
"122","소재","058430","포스코강판"
"123","소재","100250","진양홀딩스"
"124","소재","009200","무림페이퍼"
"125","소재","109070","컨버즈"
"126","소재","002840","미원상사"
"127","소재","092230","KPX홀딩스"
"128","소재","009730","코센"
"129","소재","001340","백광산업"
"130","소재","081150","티플랙스"
"131","소재","021040","대호피앤씨"
"132","소재","055490","테이팩스"
"133","소재","032560","황금에스티"
"134","소재","089010","켐트로닉스"
"135","소재","002100","경농"
"136","소재","023600","삼보판지"
"137","소재","002300","한국제지"
"138","소재","114630","우노앤컴퍼니"
"139","소재","024090","디씨엠"
"140","소재","010040","한국내화"
"141","소재","007590","동방아그로"
"142","소재","036670","KCI"
"143","소재","005010","휴스틸"
"144","소재","012800","대창"
"145","소재","120240","대정화금"
"146","소재","058650","세아홀딩스"
"147","소재","002200","수출포장"
"148","소재","220260","켐트로스"
"149","소재","187790","나노"
"150","소재","222420","쎄노텍"
"151","소재","001550","조비"
"152","소재","004090","한국석유"
"153","소재","025550","한국선재"
"154","소재","001570","금양"
"155","소재","045060","오공"
"156","소재","007280","한국특수형강"
"157","소재","004450","삼화왕관"
"158","소재","004780","대륙제관"
