"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"1",2018-12-28,"000250","삼천당제약","-",38000,"704","53.98","6,620","5.74",50,0.13,1,2227
"2",2018-12-28,"000440","중앙에너비스","-",6700,"344","19.48","7,258","0.92",176,2.63,2,NA
"3",2018-12-28,"001000","신라섬유","-",2160,"17","127.06","580","3.72",0,0,3,NA
"4",2018-12-28,"001540","안국약품","-",9900,"712","13.9","10,501","0.94",220,2.22,4,NA
"5",2018-12-28,"001810","무림SP","-",2700,"472","5.72","8,738","0.31",35,1.3,5,NA
"6",2018-12-28,"001840","이화공영","-",6730,"83","81.08","2,146","3.14",40,0.59,6,NA
"7",2018-12-28,"002230","피에스텍","-",4675,"610","7.66","7,335","0.64",75,1.6,7,NA
"8",2018-12-28,"002290","삼일기업공사","-",3355,"214","15.68","4,379","0.77",90,2.68,8,NA
"9",2018-12-28,"002680","한탑","-",2330,"46","50.65","2,293","1.02",0,0,9,NA
"10",2018-12-28,"002800","신신제약","-",7330,"245","29.92","3,436","2.13",33,0.45,10,NA
"11",2018-12-28,"003100","선광","-",17000,"928","18.32","45,791","0.37",350,2.06,11,NA
"12",2018-12-28,"003310","대주산업","-",1450,"77","18.83","1,427","1.02",30,2.07,12,NA
"13",2018-12-28,"003380","하림지주","-",11500,"2,529","4.55","19,050","0.6",180,1.57,13,NA
"14",2018-12-28,"003670","포스코켐텍","-",63700,"1,753","36.34","10,910","5.84",350,0.55,14,NA
"15",2018-12-28,"003800","에이스침대","-",23400,"2,765","8.46","35,394","0.66",660,2.82,15,NA
"16",2018-12-28,"004590","한국가구","-",20400,"1,828","11.16","31,016","0.66",525,2.57,16,NA
"17",2018-12-28,"004650","창해에탄올","-",13350,"601","22.21","11,877","1.12",600,4.49,17,NA
"18",2018-12-28,"004780","대륙제관","-",4925,"605","8.14","6,292","0.78",100,2.03,18,NA
"19",2018-12-28,"005160","동국산업","-",2445,"383","6.38","6,821","0.36",150,6.13,19,NA
"20",2018-12-28,"005290","동진쎄미켐","-",7310,"900","8.12","5,135","1.42",90,1.23,20,NA
"21",2018-12-28,"005670","푸드웰","-",5950,"327","18.2","5,489","1.08",75,1.26,21,NA
"22",2018-12-28,"005710","대원산업","-",5370,"1,695","3.17","12,599","0.43",125,2.33,22,NA
"23",2018-12-28,"005860","한일사료","-",1730,"48","36.04","1,638","1.06",25,1.45,23,NA
"24",2018-12-28,"005990","매일홀딩스","-",10450,"62","168.55","18,404","0.57",100,0.96,24,NA
"25",2018-12-28,"006050","국영지앤엠","-",1580,"43","36.74","1,508","1.05",0,0,25,NA
"26",2018-12-28,"006140","피제이전자","-",4475,"394","11.36","6,702","0.67",270,6.03,26,NA
"27",2018-12-28,"006580","대양제지","-",3125,"-","-","3,150","0.99",25,0.8,27,NA
"28",2018-12-28,"006620","동구바이오제약","-",19300,"1,482","13.02","4,952","3.9",0,0,28,NA
