"","US","EUROPE","JAPAN","EM","LONG_BOND","INT_BOND","US.REIT","GLOBAL.REIT","GOLD","COMMODITY"
"1993-01-01",0,0,0,0,0,0,0,0,0,0
"1993-01-02",0,0,0,0,0,0,0,0,0,0
"1993-01-03",0,0,0,0,0,0,0,0,0,0
"1993-01-04",-0.000348716,-0.009302326,-0.001522613,-0.004064395,0.004854369,0.006944444,-0.002985075,0,-0.013968159,-0.009188304
"1993-01-05",-0.002209302,0.014084507,-0.004945821,0.018874542,0,0.006896552,0,0,0.00106626,0.003997858
"1993-01-06",0.000427301,0.002314815,-0.006092029,0.005757737,0,-0.003424658,0,0,0.003043214,-0.005964507
"1993-01-07",-0.008736507,-0.004618938,-0.001070848,0.005569211,-0.009661836,-0.006872852,0.002994012,0,-0.001365291,-0.000883142
"1993-01-08",-0.003877943,-0.009280742,-0.009981924,-0.00105198,-0.004878049,0.003460208,0,0,-0.000151906,0.001399897
"1993-01-09",0,0,0,0,0,0,0,0,0,0
"1993-01-10",0,0,0,0,0,0,0,0,0,0
"1993-01-11",0.004522218,0,-0.000323001,-0.000774329,0,0.003448276,0.008955224,0,-0.002127013,0.002411552
"1993-01-12",0.000215306,-0.004683841,0.003911213,-0.001487865,0,-0.003436426,0.00295858,0,0.002436054,-0.01180545
"1993-01-13",0.004696581,-0.002352941,-0.012301411,-0.007667712,0.004901961,0.003448276,0.002949853,0,-0.005012151,0.002131778
"1993-01-14",0.006719776,0.009433962,-0.001807914,0.006788463,0.004878049,0.003436426,0.005882353,0,0.000305297,0.00493095
"1993-01-15",0.002882792,0.002336449,0,-0.000155362,0.004854369,0,0.005847953,0,0.000152602,0.005681505
"1993-01-16",0,0,0,0,0,0,0,0,0,0
"1993-01-17",0,0,0,0,0,0,0,0,0,0
"1993-01-18",-0.000713803,0.009324009,0.007995967,-0.000559388,0,0,0.005813953,0,0.001373207,-0.001633361
"1993-01-19",-0.003880459,0,0.012366633,0.001803483,0.004830918,0.003424658,0.005780347,0,0.002590279,-0.003200385
"1993-01-20",-0.004050623,0.002309469,-0.011102828,0.001241542,-0.004807692,-0.003412969,0,0,0,-0.005926396
"1993-01-21",0.004903869,-0.004608295,-0.000278098,0,0.004830918,0.003424658,0,0,0.002279635,0.002706394
"1993-01-22",0.001413633,0.002314815,-0.01409955,0.008556017,0,0,0.002873563,0,-0.0030326,0.000810576
"1993-01-23",0,0,0,0,0,0,0,0,0,0
"1993-01-24",0,0,0,0,0,0,0,0,0,0
"1993-01-25",0.009165974,0.013856813,0.01185039,0.004333928,0.009615385,0.006825939,0.00286533,0,-0.000912548,0.01759772
"1993-01-26",-1.92e-05,0.009111617,0.010712834,-0.000459067,-0.004761905,-0.003389831,0,0,0.007459278,-0.000950095
"1993-01-27",-0.004177366,-0.013544018,-0.003642369,-0.016319657,0,0.003401361,-0.002857143,0,-0.000906618,-0.000763301
"1993-01-28",0.00125077,-0.004576659,0.033456465,-0.013944657,0.004784689,0.003389831,0,0,-0.001966122,0.013653914
"1993-01-29",0.000307497,-0.011494253,-0.006801788,-0.001893999,0.00952381,0,0.008595989,0.02644,0.001515381,-0.002503747
"1993-01-30",0,0,0,0,0,0,0,0,0,0
"1993-01-31",0,0,0,0,0,0,0,0,0,0
"1993-02-01",0.00711218,-0.004651163,0.003476571,-0.004364464,0,0.003378378,0.005681818,0,-0.002118323,0.000491273
"1993-02-02",0.002119323,-0.002336449,0.006695261,-0.001778851,-0.004716981,0,0.002824859,0,-0.00030326,-0.008562103
"1993-02-03",0.010570529,-0.00234192,0.003688808,0.005155131,0,0,0.002816901,0,-0.004398605,0.00096141
"1993-02-04",0.00418544,0.004694836,-0.004223647,0.011998607,0.004739336,0.003367003,0.008426966,0,-0.000609385,0.005293073
"1993-02-05",-0.000695874,0.011682243,0.010706554,0.002565226,0.004716981,0.006711409,0.002785515,0,-0.000762195,-0.003035868
"1993-02-06",0,0,0,0,0,0,0,0,0,0
"1993-02-07",0,0,0,0,0,0,0,0,0,0
"1993-02-08",0,0,0.002201815,-0.000187219,0,-0.003333333,0,0,0.000610221,-0.002348138
"1993-02-09",-0.006949079,-0.011547344,0.005782881,0.00131078,-0.004694836,-0.003344482,0,0,0.000304925,0.001018813
"1993-02-10",0.001398811,-0.002336449,0.002319683,0.004238873,-0.004716981,-0.003355705,0,0,0.005486968,0.008432999
"1993-02-11",0.004890823,0,0,0.006021105,0.004739336,0.003367003,0,0,0.006518114,-0.000238928
"1993-02-12",-0.007647136,0.004683841,-0.007822094,-0.005182946,0,0,0,0,-0.008433735,-0.008619944
"1993-02-13",0,0,0,0,0,0,0,0,0,0
"1993-02-14",0,0,0,0,0,0,0,0,0,0
"1993-02-15",0,0,0.013797603,0.001488557,0,0,0,0,-0.0018226,0
"1993-02-16",-0.025228494,0,-0.003957152,-0.010652134,0,0,-0.011111111,0,0.002586732,-0.009172863
"1993-02-17",-0.000720388,0.006993007,0.00795206,-0.001564945,0.004716981,0.006711409,-0.005617978,0,0.003490666,-0.001577221
"1993-02-18",-0.000717153,0,0.002571741,-0.006896552,0.009389671,0.006666667,0,0,-0.001966122,0.004041711
"1993-02-19",0.003599609,0.011574074,0.008836183,0.014520202,0,0,0.002824859,0,0.002576148,0.006305967
"1993-02-20",0,0,0,0,0,0,0,0,0,0
"1993-02-21",0,0,0,0,0,0,0,0,0,0
"1993-02-22",0.003586699,0.00228833,0.005862315,0.00192906,0.009302326,0.003311258,-0.002816901,0,-0.003325272,0.011335332
"1993-02-23",-0.000716268,-0.011415525,-0.003891981,-0.003633315,0.00921659,0.00990099,0.005649718,0,-0.000303306,0.004687249
"1993-02-24",0.012875937,-0.002309469,-0.008885994,-0.001651862,-0.00456621,-0.006535948,0.005617978,0,0.000910194,-0.000155513
"1993-02-25",0.002119323,0,0.008168896,-0.000842907,-0.004587156,0,0.002793296,0,-0.000909366,0.001739558
"1993-02-26",0.001408668,0.00462963,-0.003641394,0.003686924,0.00921659,0,0.002785515,0.07500682,-0.006067961,0.001233963
"1993-02-27",0,0,0,0,0,0,0,0,0,0
"1993-02-28",0,0,0,0,0,0,0,0,0,0
"1993-03-01",-0.002813373,0.013824885,-0.008625871,-0.012171964,0.00456621,0.003289474,0.008333333,0,0.002747253,-0.000824348
"1993-03-02",0.014817407,0.006818182,0.007660342,0.002741712,0,0.006557377,0.002754821,0,0.001978691,2.86e-05
"1993-03-03",0.004173804,0.006772009,0.008811569,0.005185581,0.009090909,0.003257329,0.002747253,0,0.001215251,0.003010043
"1993-03-04",-0.005540737,-0.002242152,-0.00687279,0.0010005,0.004504505,0.003246753,0.005479452,0,-0.004551661,0.015363379
"1993-03-05",-0.002783987,-0.002247191,-0.003783753,-0.000343578,-0.004484305,-0.003236246,0.002724796,0,0.005182137,-0.002277859
"1993-03-06",0,0,0,0,0,0,0,0,0,0
"1993-03-07",0,0,0,0,0,0,0,0,0,0
"1993-03-08",0.022345005,0.004504505,0.058676902,0.001968442,0.004504505,0,0.008152174,0,-0.006823351,-0.002676967
"1993-03-09",-0.003415208,-0.002242152,0.002033574,0.003149557,-0.004484305,-0.003246753,0.010781671,0,-0.001679389,-0.002075583
"1993-03-10",0.002056862,-0.002247191,-0.00238779,0.003605956,-0.004504505,-0.003257329,0.005333333,0,-0.002599786,-0.004692902
"1993-03-11",-0.002734474,0,0.00616452,-9.29e-05,0,0,0.00265252,0,0.002453235,-0.00699139
"1993-03-12",-0.010291343,-0.009009009,0.003573878,0.002540115,-0.009049774,-0.006535948,-0.002645503,0,0.000305904,0.005630856
"1993-03-13",0,0,0,0,0,0,0,0,0,0
"1993-03-14",0,0,0,0,0,0,0,0,0,0
"1993-03-15",0.004853772,0.002272727,-0.001530276,0.002811766,-0.00456621,-0.003289474,0.00795756,0,0.003058104,0.001454687
"1993-03-16",0,0.004535147,0.006898565,0.008688954,0.004587156,0.00330033,0.002631579,0,0.00304878,-0.000162299
"1993-03-17",-0.006208877,-0.009029345,0.008998197,-0.001160766,0,0.003289474,0,0,-0.000759878,0.001574554
"1993-03-18",0.006247668,0.009111617,0.044134793,0.002232484,0.00456621,0.006557377,0.005249344,0,0.004562738,0.008297982
"1993-03-19",-0.001508127,0.018058691,-0.013593034,0.002044428,0,-0.003257329,0.002610966,0,0.004239213,0.001671656
"1993-03-20",0,0,0,0,0,0,0,0,0,0
"1993-03-21",0,0,0,0,0,0,0,0,0,0
"1993-03-22",-0.005554975,-0.013303769,0.016662614,-0.000883096,0,0,-0.002604167,0,0.002864466,-0.012448299
"1993-03-23",0.002095205,-0.002247191,-0.018806441,-0.005272783,0.004545455,0.003267974,-0.007832898,0,-0.00210463,0.002307367
"1993-03-24",0,0,-0.014516096,0.004933051,-0.004524887,-0.003257329,0,0,-0.00271166,0.003801634
"1993-03-25",0.006268855,-0.002252252,0.019631901,-0.002530642,-0.004545455,0,0.002631579,0,0.004833837,0.006795223
"1993-03-26",-0.005539599,0.009029345,0.007710453,-0.002537063,-0.00913242,-0.006535948,0.002624672,0,0.000300661,0.001094816
"1993-03-27",0,0,0,0,0,0,0,0,0,0
"1993-03-28",0,0,0,0,0,0,0,0,0,0
"1993-03-29",0.004178746,0.004474273,0.011651092,0.010235352,0.004608295,0.003289474,-0.002617801,0,-0.003005711,-0.002708008
"1993-03-30",0.002771838,0.004454343,-0.003193786,3.03e-05,0,0,0.005249344,0,0.008139885,-0.002482386
"1993-03-31",-0.000692839,0.011086475,-0.004496305,0.004944338,0.004587156,0,0.007832898,0.099399146,0.010167464,0.007300593
"1993-04-01",-0.00345582,0.002192982,0.034781271,-0.003682463,-0.00456621,0,-0.002590674,0,-0.004292481,0.001866887
"1993-04-02",-0.020821242,0.006564551,0.020449721,0.002060107,-0.009174312,0,-0.01038961,0,0.011149101,0.001360647
"1993-04-03",0,0,0,0,0,0,0,0,0,0
"1993-04-04",0,0,0,0,0,0,0,0,0,0
"1993-04-05",0.004962578,-0.010869565,0.017053492,-0.002146572,0.00462963,0.003278689,0,0,-0.002499265,-0.005387377
"1993-04-06",-0.002820709,-0.002197802,-0.016480725,0.003635813,0.004608295,0.003267974,-0.002624672,0,-0.002505527,-0.009779452
"1993-04-07",0.003534023,-0.002202643,0.021605056,0.006249057,0.004587156,0,0,0,-0.004875887,0.000323672
"1993-04-08",-0.001409363,0.006622517,0.008738192,-0.000600024,0.00913242,0.003257329,0,0,0.002227171,-0.001844332
"1993-04-09",0,0,-0.002440566,0.000570365,0,0,0,0,0,0
"1993-04-10",0,0,0,0,0,0,0,0,0,0
"1993-04-11",0,0,0,0,0,0,0,0,0,0
