"","version","date","pkgs"
"1","1.7",2004-10-01,235
"2","1.8",2004-10-01,290
"3","1.9",2004-12-11,390
"4","2.0",2005-04-19,464
"5","2.1",2005-11-09,586
"6","2.2",2006-05-30,701
"7","2.3",2006-10-05,820
"8","2.4",2007-06-26,1008
"9","2.5",2007-11-23,1169
"10","2.6",2008-06-25,1383
"11","2.7",2008-12-14,1556
"12","2.8",2009-06-25,1757
"13","2.9",2010-01-28,2067
"14","2.10",2010-10-08,2463
"15","2.11",2011-04-14,2836
"16","2.12",2011-10-30,3250
"17","2.13",2012-02-28,3491
"18","2.14",2013-04-01,4184
"19","2.15",2014-04-10,5096
"20","2.16",2015-04-18,6280
"21","3.0",2015-04-18,6280
"22","3.1",2016-05-03,8009
"23","3.2",2017-04-21,10137
"24","3.3",2018-04-24,12255
"25","3.4",2019-04-27,13866
"26","3.5",2019-06-25,14383
"27","3.6",2019-06-27,14452
"28","3.7",2019-06-27,14452
